Time,x,y,z,q_x,q_y,q_z,q_w
0.7,0.30695950125792554,3.211611637870525e-05,0.48695323547906516,0.9999999385297103,6.294594704559605e-05,0.00034492987244280187,1.3291225960271605e-06
0.734,0.30696085906066944,3.22350953529383e-05,0.4869524871970501,0.9999999375951243,5.928607068293789e-05,0.0003482727727772845,9.926596218422815e-07
0.767,0.3069633529469164,3.573698899856762e-05,0.4869565274542683,0.9999999375537046,6.331153086258065e-05,0.00034768372763559327,5.125879943085196e-07
0.8,0.3069619286917556,4.503822611850288e-05,0.4869559780966019,0.9999999358195774,7.830705806748337e-05,0.00034961242133624027,-2.578342209685426e-08
0.834,0.3069604561436806,3.961909192810917e-05,0.4869581679398256,0.9999999367286492,6.831166739954451e-05,0.00034910190976151394,-2.017550959427404e-06
0.867,0.3069583819933157,3.86278432210848e-05,0.48695530355000377,0.9999999364505742,7.174326118247569e-05,0.00034921078491665535,-1.8919846914816677e-06
0.9,0.30695868457629233,2.7186858597886548e-05,0.4869565220603831,0.9999999394517648,5.4002028655759164e-05,0.0003437725487842185,-8.261884380217403e-07
0.934,0.30695954135533277,3.211018725626385e-05,0.4869531249745987,0.999999938662118,6.294523759009938e-05,0.0003445459093651804,1.3317049810345518e-06
0.967,0.30696089199126975,3.221627878062383e-05,0.48695248775459316,0.9999999376574285,5.927212645523845e-05,0.00034809628240756803,9.657594833558657e-07
1.0,0.30696336337682184,3.575908722961337e-05,0.4869565912099409,0.9999999375364687,6.33610449271604e-05,0.0003477243016412268,4.970587773622492e-07
1.034,0.306961920336811,4.5217651413183924e-05,0.48695604238252554,0.9999999357434414,7.864455007927971e-05,0.00034975439710519435,-9.782329731863067e-08
1.067,0.306961920336811,4.5217651413183924e-05,0.48695604238252554,0.9999999357434414,7.864455007927971e-05,0.00034975439710519435,-9.782329731863067e-08
1.1,0.3069604417747574,3.966180159965518e-05,0.48695819679726454,0.9999999366763476,6.845988061816696e-05,0.0003492230199130601,-1.9565468142572367e-06
1.134,0.30695837210445026,3.87218403621248e-05,0.48695529602038834,0.9999999364252337,7.18945312252439e-05,0.0003492523736803063,-1.8666748828479892e-06
1.167,0.3069586828194493,2.7006444137668048e-05,0.48695649802056823,0.9999999394773231,5.369863150302622e-05,0.00034374580334298546,-7.934594908601766e-07
1.2,0.3069595451654543,3.210353754505715e-05,0.48695310484053,0.9999999386802689,6.293597005410935e-05,0.0003444949421849833,1.3254689913315741e-06
1.234,0.30696089687272543,3.222842781391103e-05,0.4869524810949474,0.9999999376680269,5.930699486649802e-05,0.0003480599456423229,9.47052076975949e-07
1.267,0.30696336617431047,3.580721187752994e-05,0.4869565960147391,0.9999999375328478,6.345946751996883e-05,0.000347716773632565,4.920448667594212e-07
1.3,0.30696192030667324,4.539691771393868e-05,0.4869560510170179,0.9999999357119007,7.898669915963086e-05,0.0003497674537001211,-1.5613933837784877e-07
1.334,0.3069604401889521,3.971367988382708e-05,0.4869582028591681,0.9999999366587016,6.862859415099726e-05,0.00034924075162355475,-1.8991059251465079e-06
1.367,0.3069583704479678,3.879147088066242e-05,0.4869552971784916,0.9999999364131095,7.201296835997729e-05,0.0003492627878151913,-1.8478399969916701e-06
1.4,0.3069586821023358,2.6834533229954445e-05,0.4869564958323376,0.9999999394921602,5.341726881922758e-05,0.0003437465345261651,-7.688525273878672e-07
1.434,0.3069595453270094,3.20962945633294e-05,0.4869531019431439,0.9999999386822811,6.293254800472522e-05,0.00034448974208215903,1.3213617316817115e-06
1.467,0.3069608974437629,3.226640095915567e-05,0.48695247943114917,0.9999999376650655,5.938987791877991e-05,0.0003480543554945723,9.342491140889203e-07
1.5,0.3069633666854764,3.5875989688133195e-05,0.48695659602610686,0.9999999375248972,6.359827612903438e-05,0.00034771428125789496,4.893765859540266e-07
1.534,0.30696192043342696,4.5577030614777045e-05,0.486956051938843,0.9999999356846604,7.932804164724666e-05,0.00034976806445196165,-1.9541972157164735e-07
1.567,0.30696043325363653,4.038070562914703e-05,0.4869581868738523,0.9999999366391783,6.899058642235256e-05,0.00034922201404199266,-2.433828396294506e-06
1.6,0.30695838687195176,4.0477876916176716e-05,0.4869553011323621,0.9999999362555931,7.422907024464723e-05,0.00034925079977297783,-1.6534293211562175e-06
1.634,0.30695867084933787,2.8080878193001994e-05,0.48695650379839883,0.9999999393638763,5.5615748731664906e-05,0.00034377191807791766,2.278926237583707e-08
