Time,x,y,z,q_x,q_y,q_z,q_w
0.234,0.3069580856251042,4.113329624990608e-05,0.4869485019051214,0.9999999736331211,7.211338724032016e-05,0.00021795602084019155,5.346913211663255e-06
0.267,0.3069584908578485,4.051286367846009e-05,0.486953194207034,0.9999999709892508,6.776532190267293e-05,0.00023110624469856747,4.388900763649732e-06
0.3,0.3069604253093916,4.1348451503800863e-05,0.48695737565744324,0.9999999708198609,6.809162106192462e-05,0.00023176886873189142,2.645737594476383e-06
0.334,0.30695941724503073,4.889328684447614e-05,0.48695365895544446,0.999999970656357,8.041688377414128e-05,0.00022851205058486653,1.6285267191351494e-06
0.367,0.30695847184701114,4.5186260789701585e-05,0.48695443235772423,0.9999999720108522,7.283896411068322e-05,0.00022510610598563483,1.4557379674845092e-07
0.4,0.30695633745787376,4.500873259736755e-05,0.48695285288182105,0.9999999712144102,7.74441909008498e-05,0.00022709633792500139,9.10821190606069e-07
0.434,0.30695627283950283,3.473398241137131e-05,0.48695547108034976,0.9999999729802441,6.164326052238483e-05,0.00022413335028617106,1.964872157448357e-06
0.467,0.3069570208824649,3.827790240414143e-05,0.4869518743741595,0.999999972375518,6.853630308430518e-05,0.00022480454889044855,3.827955318627991e-06
0.5,0.3069585645113604,3.8226125230247595e-05,0.486950298135004,0.9999999721938844,6.452585972838164e-05,0.00022679834893461732,3.339532057458931e-06
0.534,0.30696119450626846,4.1688198157774875e-05,0.48695412746800343,0.9999999721609147,6.839019338628302e-05,0.00022581556963987057,2.8773807199406117e-06
0.567,0.30695971798610144,4.984894116320326e-05,0.48695404038033246,0.9999999705202293,8.185576795574284e-05,0.00022859574197663896,1.7777667672151915e-06
0.6,0.3069581157826804,4.516557262106598e-05,0.48695656948402866,0.9999999711673043,7.303301612558324e-05,0.0002287609211279615,1.0008838913552543e-07
0.634,0.3069560025289369,4.4821514094298934e-05,0.48695354728677975,0.9999999708824402,7.72040555136455e-05,0.00022863511314727988,7.986925273355262e-07
0.667,0.3069563421248684,3.446721576414525e-05,0.4869544666498393,0.9999999733610108,6.113216003394333e-05,0.00022256810703738926,2.0675063523559138e-06
0.7,0.3069563421248684,3.446721576414525e-05,0.4869544666498393,0.9999999733610108,6.113216003394333e-05,0.00022256810703738926,2.0675063523559138e-06
0.734,0.3069572554765482,3.846817975918143e-05,0.4869510160546123,0.9999999727254096,6.870378389247321e-05,0.00022318828484251774,3.9949619103611045e-06
0.767,0.30695862557416886,3.82875457907514e-05,0.4869505389203447,0.9999999721338662,6.456695574218105e-05,0.00022705117149296664,3.3377390951136276e-06
0.8,0.3069610771653217,4.1595803590006783e-05,0.486954753342584,0.9999999719219139,6.827769988426588e-05,0.0002269071347689943,2.7349017103791547e-06
0.834,0.3069596294897235,4.9765816723408395e-05,0.486954165211878,0.9999999704443407,8.189446167327348e-05,0.00022891609172301386,1.4274430277701372e-06
0.867,0.30695814856830217,4.480551913389822e-05,0.4869562444748222,0.9999999713057236,7.277168269418315e-05,0.00022823853553145175,-7.252777266280897e-08
0.9,0.30695607013279763,4.517466613055941e-05,0.48695333038691613,0.9999999709459397,7.762581997038084e-05,0.00022821304859127305,1.0752231995737434e-06
0.934,0.3069563517983815,3.4589942724343905e-05,0.48695456981545204,0.9999999733321384,6.11047972812312e-05,0.00022270191681851594,2.404688007796113e-06
0.967,0.30695722086238614,3.86797092404282e-05,0.4869511880354979,0.9999999726345752,6.899381427930723e-05,0.00022350635559064438,3.951134327490176e-06
1.0,0.3069585994933161,3.811248716311431e-05,0.48695055462780135,0.9999999721361962,6.434957341283042e-05,0.00022710685679239347,3.035571808252658e-06
