Time,x,y,z,q_x,q_y,q_z,q_w
3.542,0.3198659466812944,0.0,0.519861534997006,0.9892916834927018,0.14595192692176423,8.936978006706348e-18,6.057664468062169e-17
3.542,0.3198659466812944,0.0,0.519861534997006,0.9892916834927018,0.14595192692176423,8.936978006706348e-18,6.057664468062169e-17
3.552,0.3200184180018998,0.0,0.5195324030728479,0.9888366709804621,0.14900348359779164,9.123831962492034e-18,6.054878319978737e-17
3.5620000000000003,0.3201725872885007,0.0,0.5192034215302265,0.9883726095537689,0.15205125676518763,9.310454245190968e-18,6.052036763274699e-17
3.572,0.3203284530009538,0.0,0.5188745963953865,0.9878995331530368,0.1550951720590034,9.496840301263326e-18,6.049140005775155e-17
3.582,0.32048601357349626,0.0,0.5185459336902151,0.9874174763637515,0.1581351553938598,9.682985594287985e-18,6.046188259255128e-17
3.592,0.3206452674147671,0.0,0.518217439432143,0.9869264744131164,0.1611711329689541,9.868885605269104e-18,6.043181739419026e-17
3.602,0.32080621290782874,0.0,0.5178891196340453,0.9864265631666408,0.1642030312730226,1.0054535832939993e-17,6.040120665879755e-17
3.612,0.32096884841018947,0.0,0.5175609803041413,0.9859177791246695,0.16723077708926506,1.023993179406465e-17,6.037005262137468e-17
3.622,0.32113317225382565,0.0,0.5172330274458967,0.9854001594188557,0.17025429750022086,1.0425069023736335e-17,6.033835755557966e-17
3.632,0.3212991827452049,0.0,0.5169052670579237,0.9848737418085765,0.17327351989260667,1.06099430756738e-17,6.03061237735075e-17
3.642,0.3214668781653095,0.0,0.5165777051338821,0.9843385646772916,0.17628837196210456,1.0794549522514468e-17,6.027335362546725e-17
3.652,0.3216362567696599,0.0,0.5162503476623803,0.9837946670288478,0.1792987817181103,1.0978883956105189e-17,6.024004949975572e-17
3.662,0.32180731678833896,0.0,0.5159232006268771,0.983242088483726,0.18230467748843066,1.1162941987789857e-17,6.020621382242769e-17
3.672,0.32198005642601674,0.0,0.5155962700055824,0.9826808692752357,0.18530598792393954,1.1346719248694532e-17,6.01718490570628e-17
3.682,0.3221544738619751,0.0,0.5152695617713584,0.9821110502456539,0.18830264200318203,1.1530211390009341e-17,6.013695770452927e-17
3.692,0.32233056725013326,0.0,0.5149430818916221,0.9815326728423119,0.1912945690369361,1.1713414083267808e-17,6.010154230274417e-17
3.702,0.32250833471907375,0.0,0.5146168363282455,0.9809457791136278,0.19428169867272066,1.1896323020622896e-17,6.006560542643054e-17
3.7119999999999997,0.3226877743720681,0.0,0.5142908310374582,0.9803504117050877,0.19726396089926027,1.2078933915120386e-17,6.002914968687128e-17
3.722,0.32286888428710364,0.0,0.513965071969749,0.979746613855176,0.2002412860508957,1.2261242500968948e-17,5.999217773165995e-17
3.732,0.3230516625169107,0.0,0.5136395650697673,0.9791344293912524,0.2032136048119478,1.2443244533807353e-17,5.995469224444837e-17
3.742,0.32323610708898953,0.0,0.5133143162762259,0.9785139027253814,0.20618084822102858,1.2624935790968445e-17,5.991669594469114e-17
3.752,0.32342221600563836,0.0,0.5129893315218019,0.9778850788501097,0.20914294767530384,1.2806312071740161e-17,5.98781915873872e-17
3.762,0.32360998724398127,0.0,0.51266461673304,0.9772480033341959,0.2120998349347008,1.2987369197623165e-17,5.983918196281825e-17
3.7720000000000002,0.3237994187559972,0.0,0.5123401778302541,0.976602722318292,0.21505144212606644,1.3168103012585478e-17,5.979966989628439e-17
3.782,0.32399050846854827,0.0,0.51201602072743,0.975949282510576,0.21799770174727073,1.3348509383313724e-17,5.975965824783665e-17
3.792,0.32418325428340977,0.0,0.5116921513321273,0.9752877311823376,0.22093854667125964,1.3528584199461311e-17,5.97191499120067e-17
3.802,0.32437765407729935,0.0,0.511368575545383,0.9746181161635192,0.22387391015005073,1.3708323373893088e-17,5.967814781753386e-17
3.8120000000000003,0.32457370570190747,0.0,0.5110452992616134,0.9739404858382088,0.22680372581867725,1.388772284292685e-17,5.963665492708903e-17
3.822,0.3247714069839277,0.0,0.5107223283685167,0.9732548891400896,0.22972792769907574,1.4066778566571385e-17,5.959467423699614e-17
3.832,0.32497075572508805,0.0,0.5103996687469775,0.9725613755478442,0.23264645020392058,1.4245486528761272e-17,5.955220877695072e-17
3.842,0.3251717497021817,0.0,0.5100773262709677,0.9718599950805152,0.23555922814039992,1.4423842737588095e-17,5.950926160973577e-17
3.852,0.32537438666709917,0.0,0.5097553068074511,0.9711507982928241,0.2384661967139375,1.4601843225528333e-17,5.94658358309352e-17
3.862,0.3255786643468602,0.0,0.5094336162162865,0.9704338362704462,0.24136729153185754,1.477948404966777e-17,5.942193456864443e-17
3.872,0.3257845804436464,0.0,0.5091122603501304,0.9697091606252447,0.24426244860699173,1.4956761291922365e-17,5.937756098317863e-17
3.882,0.32599213263483384,0.0,0.5087912450543417,0.9689768234904642,0.2471516043612298,1.5133671059255655e-17,5.933271826677835e-17
3.892,0.32620131857302664,0.0,0.5084705761668843,0.9682368775158833,0.2500346956290115,1.531020948389258e-17,5.928740964331272e-17
3.902,0.3264121358860905,0.0,0.5081502595182315,0.9674893758629289,0.25291165966076024,1.548637272352974e-17,5.924163836798032e-17
3.912,0.32662458217718676,0.0,0.5078303009312695,0.9667343721997507,0.2557824341262588,1.5662156961542076e-17,5.919540772700754e-17
3.922,0.32683865502480686,0.0,0.5075107062212016,0.965971920696258,0.25864695711796454,1.58375584071859e-17,5.914872103734466e-17
3.932,0.327054351982807,0.0,0.507191481195453,0.9652020760191199,0.2615051671542668,1.601257329579832e-17,5.910158164635977e-17
