Time,x,y,z,q_x,q_y,q_z,q_w
0.834,0.3069768877112888,0.00010435244089690391,0.48697810575728645,0.9999998821497178,0.0001760429546900534,0.0004524359487905728,3.3378107628409914e-06
0.867,0.3069768877112888,0.00010435244089690391,0.48697810575728645,0.9999998821497178,0.0001760429546900534,0.0004524359487905728,3.3378107628409914e-06
0.9,0.3069782015825803,1.5940547891647168e-05,0.4869775191712431,0.9999998952329605,3.717565614554207e-05,0.0004562080038743215,5.127923241911126e-06
0.934,0.30698065612333103,1.7522055071214837e-05,0.4869815792394575,0.9999998955402327,3.419182040178767e-05,0.00045579261121340004,1.8811711895779542e-06
0.967,0.3069792303343522,9.523503948007907e-06,0.48698098659195865,0.9999998950822965,1.6822210178392437e-05,0.0004577657045067899,1.7231655250128424e-06
1.0,0.3069777494502368,1.8802998801706236e-05,0.4869831285493118,0.9999998947104891,3.851169889832142e-05,0.00045726912338342674,8.990602184437642e-07
1.034,0.30697568522736063,7.218626251032324e-06,0.4869801982375616,0.9999998952489082,2.153760364448442e-05,0.00045720695890545595,-3.1765058043583204e-07
1.067,0.3069760031640693,0.0001005445930250752,0.4869813923867563,0.9999998832470944,0.0001718224790175301,0.00045164458614574296,-2.589620540963244e-08
1.1,0.3069768716469,1.2328799222283673e-05,0.48697802465993817,0.9999998969778047,3.6013279651832624e-05,0.00045246334471268137,4.934106517092192e-06
1.134,0.3069782068992676,1.9614022500735455e-05,0.48697739988207667,0.9999998951988437,4.117268713721575e-05,0.00045595995375863,2.762564808414791e-06
1.167,0.30698068490746183,2.2006103664665298e-05,0.4869815143817643,0.9999998953662118,4.100844672250962e-05,0.0004556135447628033,1.4733023987429137e-06
1.2,0.3069792174504775,1.2006590108993576e-05,0.4869809970247554,0.9999998948657494,2.815167503837892e-05,0.0004576726685612819,3.420789744400896e-06
1.234,0.30697774297286695,2.2144530799191635e-05,0.4869831381306313,0.9999998944989766,4.4152512161809755e-05,0.0004572226471643246,-2.0558684249839629e-07
1.267,0.3069756951152394,1.0615433970190318e-05,0.4869802363745477,0.9999998950499345,2.8710209534478613e-05,0.00045724799244011136,-3.4299502436488855e-07
1.3,0.3069760059634292,0.00010341452773494813,0.4869814135060177,0.9999998819821011,0.00017887109872852223,0.000451708827489928,2.2140714848249765e-07
1.334,0.3069768531020132,0.00010993034667977725,0.4869780206954738,0.9999998791549958,0.00019237916128736176,0.0004523984613409816,3.985526915727262e-06
1.367,0.3069781959212513,2.2946225877482124e-05,0.4869774096159143,0.9999998947923097,4.961327600330425e-05,0.0004560052131012339,3.6246630559064084e-06
1.4,0.3069806714898379,2.4080607913279943e-05,0.48698152456845223,0.9999998949830119,4.9068846187153454e-05,0.0004556553517636622,2.100903755674698e-06
1.434,0.3069792337749763,1.4539090488667284e-05,0.48698097679120955,0.9999998947279702,3.23006736859098e-05,0.0004577061024337519,2.4162753940385336e-06
1.467,0.30697775705913566,2.601233930609143e-05,0.4869831215135446,0.9999998942579392,4.975014130530918e-05,0.00045717446270226905,-7.37740680717738e-07
1.5,0.3069756949770033,1.4128837980982831e-05,0.4869802240150424,0.999999894841188,3.56313919582514e-05,0.0004572176853115528,-7.128350232784763e-08
1.534,0.30697599788262425,0.0001060797965071862,0.4869814176132512,0.9999998806510165,0.00018615956694229867,0.00045171016152509004,7.058450393535018e-07
1.567,0.3069768683944168,2.0078233637196114e-05,0.48697803161914366,0.9999998965174379,4.741403714980312e-05,0.0004524410543902895,3.7569875180027952e-06
1.6,0.3069782055613932,2.667265955753678e-05,0.48697741294951746,0.9999998945068671,5.5199572380265205e-05,0.0004559917764700227,3.2805512052713143e-06
1.634,0.30698067005260743,2.734930671809488e-05,0.48698152819814616,0.9999998946289599,5.575278793389911e-05,0.00045566193160340076,2.4289712738629447e-06
1.667,0.30697923304828145,1.7527059412016973e-05,0.48698097437157956,0.9999998945220455,3.789669850200778e-05,0.0004577272826091149,2.3394367562732015e-06
1.7,0.30697775801077987,2.9202841660324514e-05,0.4869831263091477,0.9999998939359139,5.58298609318656e-05,0.0004571768707065763,-7.044457893252309e-07
1.734,0.3069756927797138,1.6705112297293843e-05,0.48698022946296093,0.9999998945749802,4.227981401303803e-05,0.0004572333748821591,2.9434236837058807e-07
1.767,0.30697599510455204,0.00010950402665664991,0.4869814086733063,0.9999998797937358,0.0001907599741929943,0.00045168921245897816,-3.9799428188507555e-08
1.8,0.306976871237535,2.343504360999569e-05,0.48697803018710595,0.99999989621499,5.347451909660121e-05,0.0004524327487782007,3.8849854318639375e-06
1.834,0.30697820325571057,3.08328219447214e-05,0.48697740122827693,0.9999998942674306,5.961085740268782e-05,0.00045596591827906766,2.59901099187822e-06
1.867,0.30698067267214935,3.1903689704024527e-05,0.4869815297964156,0.9999998942856635,6.170428193522495e-05,0.0004556477509135149,2.5239573175754877e-06
1.9,0.30697922614135437,2.1627391061948474e-05,0.4869809824000686,0.9999998942527115,4.434442748126826e-05,0.000457734841923965,2.6366918045013686e-06
1.9340000000000002,0.306977762738616,3.376587272449089e-05,0.4869831252531351,0.999999893646044,6.066107365929151e-05,0.00045719446940188256,-1.162627401152319e-06
1.967,0.30697569993640456,2.117981657967175e-05,0.48698023103459637,0.9999998942935175,4.8335838495560606e-05,0.0004572486411959391,5.296266160580724e-07
2.0,0.3069760086817473,3.4560904490072285e-05,0.4869814162562915,0.9999998955704437,6.941126261904536e-05,0.0004517088734211162,5.217509845536325e-07
2.034,0.3069768685612308,2.8072314747344275e-05,0.48697802360363246,0.9999998959071211,5.915734843763645e-05,0.0004524087903856466,3.527275183455344e-06
2.067,0.3069782007723564,3.4381576015890755e-05,0.48697740746390494,0.9999998937838033,6.70648709995983e-05,0.0004559868040298834,3.2741239757549765e-06
2.1,0.3069806697667268,3.5810565764191624e-05,0.486981520738862,0.9999998939525362,6.6938593152149e-05,0.00045564238076001523,2.0401335141556944e-06
2.134,0.30697923214867595,2.628998309508372e-05,0.4869809776711729,0.9999998939806753,5.035395431925641e-05,0.00045770848382103687,2.4619978684954853e-06
2.167,0.30697775976997005,3.7702605816440286e-05,0.48698312753357315,0.9999998931788152,6.791678909780441e-05,0.0004571971751616416,-6.410298166678919e-07
2.2,0.3069756956717876,2.565945912968972e-05,0.4869802266990958,0.9999998940182804,5.388619475167158e-05,0.0004572304723752484,3.481371031990959e-08
