Time,x,y,z,q_x,q_y,q_z,q_w
3.52,0.31953649404179835,0.0,0.5205861248487083,0.990260695741049,0.13922555250547017,8.52510636176729e-18,6.063597956803533e-17
3.52,0.31953649404179835,0.0,0.5205861248487083,0.990260695741049,0.13922555250547017,8.52510636176729e-18,6.063597956803533e-17
3.5300000000000002,0.31968522454229575,0.0,0.5202566833183838,0.9898257071109423,0.14228516979054073,8.71245388750617e-18,6.060934419635905e-17
3.54,0.31983565630682054,0.0,0.5199273788970119,0.9893815971842671,0.14534116812902217,8.899579816677216e-18,6.058215030635043e-17
3.55,0.31998778785166565,0.0,0.519598217620072,0.9889283984707691,0.14839347255873447,9.086479559170739e-18,6.055439988865728e-17
3.56,0.3201416176674587,0.0,0.5192692055189059,0.988466144132434,0.15144200838591032,9.273148541312585e-18,6.052609497386559e-17
3.57,0.32029714421918287,0.0,0.5189403486206178,0.9879948679802653,0.15448670119029106,9.459582206176177e-18,6.049723763230218e-17
3.58,0.3204543659461975,0.0,0.5186116529479742,0.9875146044710005,0.1575274768301819,9.645776013892056e-18,6.046782997383376e-17
3.59,0.3206132812622595,0.0,0.518283124519305,0.9870253887037708,0.16056426144746597,9.831725441954899e-18,6.043787414766225e-17
3.6,0.3207738885555449,0.0,0.5179547693484045,0.9865272564166999,0.16359698147257715,1.0017425985528023e-17,6.040737234211659e-17
3.61,0.32093618618867104,0.0,0.5176265934444311,0.9860202439834461,0.16662556362943032,1.0202873157745274e-17,6.037632678444098e-17
3.62,0.3211001724987188,0.0,0.5172986028118088,0.9855043884096858,0.1696499349403092,1.0388062490010319e-17,6.034473974057959e-17
3.63,0.3212658457972557,0.0,0.5169708034501289,0.9849797273295406,0.17267002273070983,1.0572989532293226e-17,6.031261351495773e-17
3.64,0.32143320437035916,0.0,0.5166432013540492,0.9844462990019479,0.17568575463414057,1.0757649853424377e-17,6.027995045025969e-17
3.65,0.3216022464786401,0.0,0.5163158025131964,0.9839041423069752,0.17869705859687654,1.0942039041385594e-17,6.024675292720295e-17
3.66,0.32177297035726693,0.0,0.5159886129120674,0.9833532967420795,0.18170386288266893,1.1126152703598503e-17,6.021302336430926e-17
3.67,0.32194537421599034,0.0,0.5156616385299294,0.9827938024183116,0.18470609607740784,1.1309986467210051e-17,6.017876421767208e-17
3.68,0.3221194562391678,0.0,0.5153348853407224,0.9822257000564667,0.18770368709373822,1.1493535979375143e-17,6.014397798072101e-17
3.69,0.3222952145857891,0.0,0.5150083593129599,0.9816490309831805,0.1906965651756286,1.167679690753641e-17,6.010866718398264e-17
3.7,0.32247264738950177,0.0,0.514682066409631,0.9810638371269738,0.19368465990289163,1.1859764939700997e-17,6.007283439483844e-17
3.71,0.32265175275863767,0.0,0.5143560125881017,0.9804701610142431,0.19666790119565586,1.2042435784714393e-17,6.003648221727914e-17
3.7199999999999998,0.3228325287762387,0.0,0.5140302038000166,0.9798680457652011,0.19964621931878807,1.2224805172531214e-17,5.999961329165629e-17
3.73,0.32301497350008446,0.0,0.513704645991201,0.9792575350897649,0.20261954488626688,1.240686885448301e-17,5.996223029443037e-17
3.74,0.32319908496271904,0.0,0.5133793451015628,0.9786386732833938,0.20558780886550349,1.2588622603542835e-17,5.992433593791603e-17
